graphId,graphName,agent_prompt,whatItDoesText,keyFeatures,forTeamsLike,example_queries,curatorURL,topics,geography,byTheNumbers,headline
"sports","PSFK Sports Trends","CRITICAL: Use this graph for insights on the future of sports, including fan engagement, athlete performance technology, and new business models in the sports industry.","This graph explores the evolution of the sports industry, focusing on how technology, commerce, and fan culture are creating new opportunities. It covers key areas such as the monetization of fandom, the impact of AI on athlete performance, the rise of experiential sports venues, and the growth of women's sports.","- Tracks the monetization of sports fandom through lifestyle and brand partnerships.
- Analyzes the impact of AI and embedded sensor technology on athlete performance and coaching.
- Identifies the trend of social-sports entertainment venues that combine gameplay with dining and community.
- Explores the financialization of fandom through digital assets and premium products.","- Sports Marketing and Sponsorship teams
- Venture Capital firms investing in sports tech
- Professional sports leagues and team management
- Sports apparel and equipment companies","- How are sports teams monetizing fan engagement beyond merchandise?
- What are the latest advancements in performance tracking technology for athletes?
- Show me examples of new experiential sports and entertainment venues.
- What is the impact of AI on sports coaching and analytics?
- How is the fan experience evolving with new technology?","","- Sports Technology
- Fan Engagement
- Athlete Commerce
- Venue Innovation
- Women's Sports","Global, with a focus on North America and Europe.","- The North American sports facilities design market is projected to grow at a 4.5% CAGR to reach USD 5.2 billion by 2032.","Explore the intersection of technology, commerce, and culture in the evolving world of sports."
"sxsw-2026-key-insights","SXSW 2026 Key Insights","CRITICAL: Use this graph for insights on AI's impact on business leadership, workforce skills, and brand strategy. It provides a strategic overview of key themes from SXSW, focusing on how companies can navigate technological disruption while maintaining brand authenticity and a human-centric approach.","This graph provides a strategic analysis of the key trends from SXSW, focusing on the dual challenges of AI-driven business transformation and the need for genuine brand authenticity. It explores the growing gap between the pace of technological advancement and society's ability to adapt, highlighting the critical need for leadership to build trust and for the workforce to cultivate uniquely human skills. Additionally, it outlines strategies for brands to remain relevant and distinct in a world increasingly mediated by algorithms.","- Analysis of the societal lag in technology adoption.
- Strategies for fostering leadership trust during AI integration.
- Insights on the importance of human skills in an automated world.
- Guidance on maintaining brand authenticity in the age of algorithms.","- Corporate Strategy
- Brand Marketing
- Human Resources and People Operations
- Innovation and R&D","- How is AI impacting the relationship between leadership and employees?
- What strategies can brands use to maintain authenticity in an algorithmic world?
- Why are in-real-life experiences becoming more valuable?
- What are the most important human skills to cultivate in the age of AI?","","- Artificial Intelligence
- Brand Strategy
- Corporate Culture
- Future of Work
- Technology Trends","Global","- Insight: Society is struggling to keep pace with rapid technological innovation, outpacing regulation and societal understanding.
- Insight: Trust in leadership is essential for navigating workforce transformation and ensuring successful AI integration.
- Insight: Brands must leverage culture, creators, and a deep understanding of algorithms to maintain relevance and consumer trust.
- Insight: As technology isolates, the value of real-world human interaction and community is increasing significantly.","Navigate AI Transformation and Brand Authenticity with Key Insights from SXSW"
"retail","PSFK Retail Trends","CRITICAL: Use this graph for insights on the evolving retail landscape, including AI integration, experiential marketing, autonomous stores, and the circular economy.","This graph provides a comprehensive overview of the future of retail, tracking key shifts in commerce, customer experience, and store formats. It explores the rise of AI-powered shopping assistants, the deployment of automated and staff-free stores, and the growth of retailer-operated resale and value-recovery programs. A major focus is the transformation of physical retail into 'experiential destinations' that blend shopping with dining, entertainment, and bookable events.","- Tracks the integration of AI in e-commerce and in-store operations.
- Monitors the rise of autonomous, staff-free retail formats.
- Analyzes the growth of the circular economy through brand-operated resale and buyback programs.
- Highlights the shift from transactional shopping to experiential retail.","- Retail Strategy & Innovation
- Brand Experience & Marketing
- E-commerce & Digital Product
- Merchandising & Store Operations","- What are the latest trends in experiential retail?
- How are AI chatbots being used in e-commerce?
- Show me examples of autonomous stores in airports.
- Which brands are launching official resale programs?","","- Retail Innovation
- Artificial Intelligence
- Customer Experience
- E-commerce
- Circular Economy
- Automated Retail","Global","- 92% of U.S. retailers will increase their investment in AI in 2025.
- Retailers leading in personalization achieve approximately 10% higher revenue growth.
- 61% of retailers report supply chain improvements after investing in AI.","The Future of Commerce, from AI-Powered Shopping to Experiential Retail"
"havas-media-trends","Havas Media 2026 Trends","CRITICAL: Use this graph for forward-looking media strategies, understanding the convergence of content and commerce, and identifying untapped consumer growth areas for 2026.","Provides a strategic overview of the evolving media landscape for 2026, focusing on the shift in the creator economy from influence to ownership, the demand for ROI-driven marketing, and the emergence of new, affluent consumer segments.","- Tracks the maturation of the creator economy as creators become IP owners and direct-to-consumer businesses.
- Highlights the increasing financial scrutiny on marketing, demanding budgets be planned as investments with measurable returns.
- Identifies high-growth 'white space' opportunities in underserved markets like the affluent 50+, premium pet care, and connected health.","- Media Planners & Buyers
- Brand Strategists
- Marketing & Advertising Leaders
- Innovation Teams","- How is the creator economy evolving from influence to ownership?
- What are the key growth markets for brands to target in 2026?
- How should marketing teams adapt to increased financial scrutiny and the demand for ROI?
- What is the future of conversational commerce?","https://havasmedianetwork.com/","- Media
- Advertising
- Creator Economy
- Marketing ROI
- Consumer Trends","Global","- Gen X and Boomers control the majority of wealth, exhibit higher purchase intent, and are more brand loyal than younger demographics.
- Marketing budgets are increasingly being treated like investments that require demonstrable returns, shifting away from legacy planning models.
- Three key 'white space' growth opportunities identified are the Affluent 50+ demographic, the Premium Pets market, and the Connected Health sector.","Navigate the 2026 Media Landscape"
"visa-creators_report-2025","Visa Creator Economy 2025","CRITICAL: Use this graph for insights on how financial institutions, payment providers, and fintech companies can better serve the rapidly growing creator economy. It details the financial behaviors, needs, and growth expectations of content creators.","This graph provides a detailed analysis of the creator economy from a financial perspective, based on Visa's 2025 report. It highlights the significant economic impact of creators, their entrepreneurial mindset, and their specific needs for financial products and services. The graph uncovers the opportunities for financial institutions to support this demographic by offering tailored solutions for payments, business management, and financial guidance.","- Identifies the primary financial behaviors of creators, including a heavy reliance on personal funding and accounts for business expenses.
- Highlights the demand for flexible payment solutions and faster access to income.
- Reveals a significant need for professional guidance in business and finance among creators.
- Quantifies the growth and scale of the creator economy, positioning it as a major industry.","- Product Development at Banks and Credit Unions
- Fintech Startups
- Venture Capitalists
- Marketing and Strategy Teams in Financial Services","- What financial products are most needed by content creators?
- How are creators currently managing their business finances?
- What is the projected growth of the creator economy?
- What percentage of creators are looking for financial guidance?","","- Creator Economy
- Financial Services
- Fintech
- Small Business Banking
- Future of Work","Global","- The creator economy is a half-trillion-dollar industry.
- 88% of creators expect their business revenue to grow in the next year.
- 86% of creators are self-funded.
- 62% of creators use personal accounts for business expenses.
- Approximately 30% of creators want payment cards with more flexibility and faster access to income.
- Around 25% of creators are seeking professional guidance on business and finance.","Financial Institutions Have a Multi-Billion Dollar Opportunity to Serve the Underserved Creator Economy"
"bompasparr-future-of-p-leisure-2026-nightlife","Bompas & Parr Nightlife Futures","CRITICAL: Use this graph for understanding the future of social gatherings, urban planning, and the experience economy. It provides insights into how and why people will seek out nightlife, moving beyond traditional clubbing to encompass wellness, intergenerational connection, and cultural creation.","This graph, curated by Bompas & Parr, explores the evolution of nightlife, parties, and social connection. It moves beyond simple hedonism to analyze emerging patterns, such as the desire for more reflective and luxurious nocturnal experiences, the recognition of nightlife's role in urban regeneration, and the impact of an aging population on party culture.","- Identifies a shift from pure hedonism towards more reflective and purposeful nighttime activities, like late-night tasting menus and personal development.
- Highlights the growing recognition of club culture as a significant driver of creativity, economic value, and urban regeneration.
- Analyzes the trend of an aging population actively participating in and shaping nightlife, moving past the youth-centric model.
- Explores the importance of 'in-between' spaces and liminal moments, like queues and bathrooms, as key parts of the social experience.","- Urban Planners & Policymakers
- Event Organizers & Experience Designers
- Brand Strategists & Marketers (especially in Hospitality, Beverage, and Tech)
- Cultural Researchers & Futurists","- How is the purpose of going out at night changing?
- What is the economic and cultural impact of nightlife on cities?
- How are different age demographics participating in nightlife?
- What are the emerging trends in social wellness and relaxation?
- Show me examples of how 'in-between' moments are being designed as experiences.","","- Nightlife
- Urban Futures
- Experience Economy
- Social Trends
- Cultural Regeneration","Global","- Local governments are increasingly recognizing the immense benefit that a healthy nightlife brings to the civic and financial wellbeing of a city.
- Global populations are aging, leading to a large-scale takeover of nighttime mischief by middle-aged and older demographics.
- A new generation of grassroots venues, collectives, and promoters are working to change the tide of the downturn of nightlife.","The Future of the Night: From Hedonistic Escape to Meaningful Connection"
"marieke-neleman-trends","Marieke Neleman - Cultural Signals","CRITICAL: Use this graph for developing culturally relevant brand strategies, understanding emerging design and lifestyle trends, and identifying opportunities for authentic community engagement.","This graph, curated by cultural strategist Marieke Neleman, provides intelligence on the evolving landscape of design, lifestyle, and community. It focuses on how cultural heritage is being reclaimed and celebrated, how consumers are seeking more intimate and curated experiences, and how non-Western aesthetics are challenging traditional notions of luxury and design. It's a tool for understanding the shift towards more meaningful and decolonized cultural expressions.","- Identifies a macro shift from appropriation to authentic celebration of cultural heritage.
- Tracks the consumer desire to move away from algorithmic feeds towards expert curation and intimate, community-focused experiences.
- Highlights the rise of non-Western aesthetics and the 'decolonization' of design, challenging traditional power structures and defining new standards for luxury.","- Brand Strategy & Innovation
- Marketing & Advertising
- Product Design & Development
- Creative Direction
- Cultural Research & Trend Forecasting","- How are communities reclaiming and celebrating their cultural heritage?
- What are the latest trends in curated and intimate consumer experiences?
- How is the concept of 'luxury' being redefined by non-Western aesthetics?
- Show me examples of brands successfully engaging in cultural reclamation.
- What is the future of community-driven marketing?","https://www.mariekenleman.com/","- Cultural Trends
- Brand Strategy
- Community Engagement
- Design & Aesthetics
- Lifestyle Intelligence","Global, with a focus on non-Western cultural movements (MENA, Latin America, India).","- Identifies a key trend of 'Decolonisation & Cultural Reclamation' where communities are challenging whose aesthetics are considered 'premium'.
- Highlights a consumer shift from large, impersonal events to small, meaningful, and curated experiences.
- Details the evolution from preserving the past to honoring traditions while making them contemporary.","Track Emerging Cultural Signals and Redefine Your Brand Strategy"
"green-house-growth-trends","Green House Growth Trends","CRITICAL: Use this graph for understanding the intersection of modern creativity, digital ecosystems, and the growing consumer demand for sustainable and nature-inspired lifestyles. Focus on how brands can leverage these trends for authentic marketing and product innovation.","This graph explores the dual trends of digital creativity and sustainable living. It maps how creators are building new vibrant topographies online and offline, fostering a more connected human experience, while also charting the consumer shift towards greener, more natural, and eco-conscious choices in their daily lives.","- Analyzes the impact of the creator economy on culture and community.
- Identifies the growing consumer trend towards sustainability and nature-based aesthetics.
- Provides a framework for understanding how digital creativity and eco-consciousness intersect.","- Marketing and Advertising
- Brand Strategy
- Product Innovation
- Sustainability and CSR","- How is the creator economy influencing consumer behavior?
- What are the key drivers of the 'Eat Your Greens' trend?
- How can our brand authentically connect with consumers' desire for sustainability?
- What are some examples of brands successfully leveraging the creator economy?
- What are the latest trends in sustainable product design?","","- Creativity
- Sustainability
- Marketing
- Creator Economy
- Consumer Trends","Global","- This graph focuses on qualitative trends and insights rather than specific quantitative data.
- The 'Creativity' trend highlights the significant impact of creators on shaping new cultural and social topographies.
- The 'Eat Your Greens' trend points to a widespread consumer movement towards incorporating natural and sustainable elements into their lifestyles.","Mapping the Convergence of Digital Creativity and Sustainable Living"
"pubmed_research","PubMed Scientific Literature Tracker","CRITICAL: Use this graph for querying publication trends, recent research, and top journals in the biomedical and life sciences. You can ask about publication counts, 10-year trends, recent articles, and journals for specific scientific topics.","The PubMed Scientific Literature Tracker provides insights into the acceleration patterns of scientific research by analyzing publication counts, 10-year trends, and highlighting recent articles and top journals from the PubMed database.","- Track publication volumes for any scientific topic.
- Analyze 10-year trends to understand research acceleration.
- Discover recent articles and leading journals in specific fields.","- R&D Teams
- Academic Researchers
- Medical Analysts","- What are the publication trends for 'gene editing' over the last 10 years?
- Show me recent articles on 'cancer immunotherapy'.
- Which journals publish the most on 'neuroscience'?","https://www.ncbi.nlm.nih.gov/","- Biomedical Research
- Life Sciences
- Health Sciences","Global","- Data not available at this time.","Track the Pulse of Scientific Research with PubMed Literature Insights"
"ecdb-global-ecommerce-outlook-2026","ECDB Global eCommerce Outlook","CRITICAL: Use this graph for insights into the future of global eCommerce, focusing on key growth regions, dominant platforms, and emerging product categories for strategic planning and market analysis.","This graph provides a comprehensive outlook on the global eCommerce market's stabilization, projecting key trends for 2026. It highlights the shifting dynamics of market growth, moving from Western countries to emerging markets in Asia and Latin America, and details the increasing dominance of online marketplaces. The analysis also pinpoints high-growth categories, such as grocery, and identifies the key players shaping the future of online retail.","- Identifies emerging high-growth eCommerce markets like Thailand, Indonesia, and Mexico.
- Details the overwhelming market share of marketplaces, projected to capture 87% of global revenues.
- Highlights the grocery sector as a major winner in eCommerce, with significant growth projections.
- Contrasts the rapid growth in developing nations with the slowdown in established Western European markets.
- Analyzes the changing fortunes of major players, including the rise of TikTok Shop and the maturation of disruptors like Shein and Temu.","- Market Research & Analysis
- Corporate Strategy & Planning
- Retail & CPG Brand Management
- Investment & Venture Capital
- International Business Development","- What are the fastest-growing geographic markets for eCommerce in 2026?
- How is the market share of online marketplaces expected to change?
- Which product categories are projected to see the most growth in eCommerce?
- What is the outlook for eCommerce growth in Europe compared to Latin America?
- How are new players like TikTok Shop impacting the competitive landscape?","","- eCommerce
- Marketplaces
- Retail Trends
- Emerging Markets
- Grocery
- CPG","Global, with a focus on Asia, Latin America, and Europe","- The global eCommerce market is projected to grow by 8.6% in 2026.
- Marketplaces are expected to account for 87% of global eCommerce revenue in 2026.
- Indonesia is the fastest-growing market with a projected 22.0% growth rate.
- The online grocery category is forecast to grow by 14.4% in 2026.
- Latin America is the fastest-growing region, with a projected growth of 12.4%.","Global eCommerce Market Reaches New Equilibrium, with Growth Shifting to Emerging Economies and Online Marketplaces"
